Product ID,Description,"Potential Build
Qty",Quantity,Component Product ID,Description,"Component product 
 Remaining",Component note
,,,1,B1032Q-3/3,"Meredith Fabric Bed(Velvet Dark Blue,Queen) - SIDE RAILS",2,
B1033K,MEREDITH - Pink Velvet Bed - King,23
,,,1,B1033K-1/3,"Meredith Fabric Bed(Velvet Pink,King) - HEADBOARD",23,
,,,1,B1033K-2/3,"Meredith Fabric Bed(Velvet Pink,King) - FOOTBOARD",23,
,,,1,B1033K-3/3,"Meredith Fabric Bed(Velvet Pink,King) - SIDE RAILS",26,
B1033Q,MEREDITH - Pink Velvet Bed - Queen,17
,,,1,B1033Q-1/3,"Meredith Fabric Bed(Velvet Pink,Queen) - HEADBOARD",18,
,,,1,B1033Q-2/3,"Meredith Fabric Bed(Velvet Pink,Queen) - FOOTBOARD",18,
,,,1,B1033Q-3/3,"Meredith Fabric Bed(Velvet Pink,Queen) - SIDE RAILS",17,
B1036K,PALMA - Acacia Bed - King,6
,,,1,B1036K-1/2,PALMA Acacia Bed(King) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,6,
,,,1,B1036K-2/2,PALMA Acacia Bed(King) - SIDE RAILS+CENTER SUPPORT,7,
B1036Q,PALMA - Acacia Bed - Queen,
,,,1,B1036Q-1/2,PALMA Acacia Bed(Queen) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,0,
,,,1,B1036Q-2/2,PALMA Acacia Bed(Queen) - SIDE RAILS+CENTER SUPPORT,1,
B1037K,ARIA - Acacia Bed - King,12
,,,1,B1037K-1/2,ARIA Acacia Bed(King) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,12,
,,,1,B1037K-2/2,ARIA Acacia Bed(King) - SIDE RAILS+CENTER SUPPORT,13,
B1037Q,ARIA - Acacia Bed - Queen,5
,,,1,B1037Q-1/2,ARIA Acacia Bed(Queen) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,5,
,,,1,B1037Q-2/2,ARIA Acacia Bed(Queen) - SIDE RAILS+CENTER SUPPORT,5,
B1038K,MADRID - Acacia Bed - King,2
,,,1,B1038K-1/2,MADRID Acacia Bed(King) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,2,
,,,1,B1038K-2/2,MADRID Acacia Bed(King) - SIDE RAILS+CENTER SUPPORT,3,
B1038Q,MADRID - Acacia Bed - Queen,20
,,,1,B1038Q-1/2,MADRID Acacia Bed(Queen) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,20,
,,,1,B1038Q-2/2,MADRID Acacia Bed(Queen) - SIDE RAILS+CENTER SUPPORT,21,
B1039K,MAURA - Mango Wood Bed - King,9
,,,1,B1039K-1/2,MAURA Mango Bed(King) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,9,
,,,1,B1039K-2/2,MAURA Mango Bed(King) - SIDE RAILS+CENTER SUPPORT,11,
B1039Q,MAURA - Mango Wood Bed - Queen,1
,,,1,B1039Q-1/2,MAURA Mango Bed(Queen) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,4,
,,,1,B1039Q-2/2,MAURA Mango Bed(Queen) - SIDE RAILS+CENTER SUPPORT,1,
B1040K,ZOEY - Rosewood Platform Bed - King,4
,,,1,B1040K-1/2,ZOEY Rosewood Platform Bed(King) - TBD,5,
,,,1,B1040K-2/2,ZOEY Rosewood Platform Bed(King) - TBD,4,
B1040Q,ZOEY - Rosewood Platform Bed - Queen,
,,,1,B1040Q-1/2,ZOEY Rosewood Platform Bed(Queen) - TBD,0,
,,,1,B1040Q-2/2,ZOEY Rosewood Platform Bed(Queen) - TBD,0,
B1041K,LINA - Grey Leather Bed - King,15
,,,1,B1041K-1/3,"Lina Leather Bed (Grey,King) - HEADBOARD + FOOTBOARD",15,
,,,1,B1041K-2/3,"Lina Leather Bed (Grey,King) - SIDE RAILS",15,
,,,1,B1041K-3/3,"Lina Leather Bed (Grey,King) - SLATS+ FOOT",15,
B1041Q,LINA - Grey Leather Bed - Queen,16
,,,1,B1041Q-1/3,"Lina Leather Bed (Grey,Queen) - HEADBOARD + FOOTBOARD",16,
,,,1,B1041Q-2/3,"Lina Leather Bed (Grey,Queen) - SIDE RAILS",16,
,,,1,B1041Q-3/3,"Lina Leather Bed (Grey,Queen) - SLATS+ FOOT",16,
B1042K,KUDROW - Grey Fabric Bed with Storage - King,7
,,,1,B1042K-1/3,"Kudrow Fabric Bed with Storage(Grey,King) - HEADBOARD + DRAWERS",7,
,,,1,B1042K-2/3,"Kudrow Fabric Bed with Storage(Grey,King) - SIDE RAILS",7,
,,,1,B1042K-3/3,"Kudrow Fabric Bed with Storage(Grey,King) - FOOTBOARD+DRAWERS+FOOT",7,
B1042Q,KUDROW - Grey Fabric Bed with Storage - Queen,6
,,,1,B1042Q-1/3,"Kudrow Fabric Bed with Storage(Grey,Queen) - HEADBOARD + DRAWERS",6,
,,,1,B1042Q-2/3,"Kudrow Fabric Bed with Storage(Grey,Queen) - SIDE RAILS",6,
,,,1,B1042Q-3/3,"Kudrow Fabric Bed with Storage(Grey,Queen) - FOOTBOARD+DRAWERS+FOOT",6,
B1043K,KASIDY - Grey Fabric Bed - King,19
,,,1,B1043K-1/3,"Kasidy Velvet Bed(Dark Grey,King) - HEADBOARD",19,
,,,1,B1043K-2/3,"Kasidy Velvet Bed(Dark Grey,King) - SIDE RAILS",19,
,,,1,B1043K-3/3,"Kasidy Velvet Bed(Dark Grey,King) - FOOTBOARD+SLATS",19,
