ParentID,ParentDesc,ProductID,OrderID,Destination,Desc,Quantity,PreorderDateOnline,EstimateDate,ContainerNum,UnitReceived,LifeCycle,Description,Remaining after reservations including BOM units WZ0002,Montreal ATS,Remaining after reservations including BOM units WZ0003,TotalATS
B1032K,"Meredith Fabric Bed(Velvet Dark Blue,King)",B1032K-2/3,100658,WZ0001A,"Meredith Fabric Bed(Velvet Dark Blue,King) - FOOTBOARD",36.0,,,,0.0,,,,,,
B1033Q,"Meredith Fabric Bed(Velvet Pink,Queen)",B1033Q-1/3,100658,WZ0001A,"Meredith Fabric Bed(Velvet Pink,Queen) - HEADBOARD",30.0,,,,0.0,NOOS,,,,,
B1036K,PALMA Acacia Bed(King),B1036K-1/2,100720,WZ0002,PALMA Acacia Bed(King) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,30.0,2022-4-15,2022-04-03,GESU5737314,0.0,NOOS,,,,,
B1036K,PALMA Acacia Bed(King),B1036K-2/2,100720,WZ0002,PALMA Acacia Bed(King) - SIDE RAILS+CENTER SUPPORT,30.0,2022-4-15,2022-04-03,GESU5737314,0.0,NOOS,,,,,
B1036Q,PALMA Acacia Bed(Queen),B1036Q-1/2,100720,WZ0002,PALMA Acacia Bed(Queen) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,19.0,2022-4-15,2022-04-03,GESU5737314,0.0,NOOS,,,,,
B1036Q,PALMA Acacia Bed(Queen),B1036Q-2/2,100720,WZ0002,PALMA Acacia Bed(Queen) - SIDE RAILS+CENTER SUPPORT,19.0,2022-4-15,2022-04-03,GESU5737314,0.0,NOOS,,,,,
B1038K,MADRID Acacia Bed(King),B1038K-2/2,100721,WZ0001A,MADRID Acacia Bed(King) - SIDE RAILS+CENTER SUPPORT,21.0,,2022-02-25,INKU6482560,0.0,NOOS,,,,,
B1038Q,MADRID Acacia Bed(Queen),B1038Q-1/2,100721,WZ0001A,MADRID Acacia Bed(Queen) - HEADBOARD + FOOTBOARD + MATTRESS SLATS + CENTRE SUPPORT LEGS + METAL LEGS,20.0,,2022-02-25,INKU6482560,0.0,,,,,,
B1038Q,MADRID Acacia Bed(Queen),B1038Q-2/2,100721,WZ0001A,MADRID Acacia Bed(Queen) - SIDE RAILS+CENTER SUPPORT,20.0,,2022-02-25,INKU6482560,0.0,,,,,,
B1039K,MAURA Mango Bed(King),B1039K-1/2,100721,WZ0001A,"MAURA Mango Bed(King) - HEADBOARD, SLATS, LEGS",9.0,,2022-02-25,INKU6482560,0.0,NOOS,,,,,
B1039K,MAURA Mango Bed(King),B1039K-2/2,100721,WZ0001A,"MAURA Mango Bed(King) - SIDERAIL, CENTER SUPPORT, LEG SUPPORT",9.0,,2022-02-25,INKU6482560,0.0,NOOS,,,,,
B1040Q,ZOEY Rosewood Platform Bed(Queen),B1040Q-1/2,100705,WZ0001A,"ZOEY Rosewood Platform Bed(Queen) - SIDERAILS, MIDDLE RAIL",20.0,,2022-02-20,MSMU6049935,0.0,,,,,,
B1041Q,"Lina Leather Bed (Grey,Queen)",B1041Q-1/3,100753,WZ0002,"Lina Leather Bed (Grey,Queen) - HEADBOARD + FOOTBOARD",20.0,,,,0.0,,,,,,
B1041Q,"Lina Leather Bed (Grey,Queen)",B1041Q-2/3,100753,WZ0002,"Lina Leather Bed (Grey,Queen) - SIDE RAILS",20.0,,,,0.0,,,,,,
B1041Q,"Lina Leather Bed (Grey,Queen)",B1041Q-3/3,100753,WZ0002,"Lina Leather Bed (Grey,Queen) - SLATS+ FOOT",20.0,,,,0.0,,,,,,
